Datetime,CPU,RSS,VMSize,Read,Write,Annotation
2022-08-15 14-25-36,618.1818181818181,730034176,3705053184,0,0,start_loggin
2022-08-15 14-25-36,42.63322884012539,730341376,3705053184,499712,4096,add samples
2022-08-15 14-26-35,99.72169604043724,732291072,3706777600,913408,0,init dataset
2022-08-15 19-54-19,99.52483820552929,34581999616,37626691584,20293943296,4096,split dataset
2022-08-15 19-54-21,162.19900045433894,34700947456,37846577152,8663040,4096,Model start
2022-08-15 19-54-21,86.15384615384616,34701709312,37851033600,520192,159744,modelsetup_done
2022-08-15 19-54-21,105.83657587548637,34701705216,37851033600,0,4096,train_start
2022-08-15 19-54-21,0.0,34701705216,37851033600,0,0,epoch_begin
2022-08-15 19-54-27,1337.3224691607174,35138412544,42917523456,21635072,0,
2022-08-15 19-54-31,1344.295729764181,35143573504,42938486784,86016,0,
2022-08-15 19-54-34,1147.646383467279,35199393792,43000410112,0,0,
2022-08-15 19-54-38,1071.643042858341,35254657024,43065966592,0,0,
2022-08-15 19-54-41,1094.2752143732137,35144650752,42960093184,0,0,
2022-08-15 19-54-45,1069.895386154295,35200290816,43017703424,0,0,
2022-08-15 19-54-48,1256.2033121220504,35178000384,42958274560,0,0,
2022-08-15 19-54-53,1667.1096589448953,35297353728,43104251904,0,0,
2022-08-15 19-54-57,1781.1679199798511,35264585728,43080196096,0,0,
2022-08-15 19-55-00,1064.6677404699954,35235893248,43052756992,0,4096,
2022-08-15 19-55-04,1199.3349014518615,35235667968,43055120384,0,0,
2022-08-15 19-55-07,1007.5021954585372,35297210368,43112488960,0,0,
2022-08-15 19-55-11,1037.7270064440538,35325673472,43142791168,0,0,
2022-08-15 19-55-14,1016.1737020457683,35325874176,43140689920,0,0,
2022-08-15 19-55-18,969.3409742120344,35325980672,43143053312,0,0,
2022-08-15 19-55-21,907.9176395669709,35270586368,43083943936,0,0,
2022-08-15 19-55-25,935.9646194926569,35272044544,43091521536,0,0,
2022-08-15 19-55-28,1134.360072475704,35281362944,43061559296,0,0,
2022-08-15 19-55-32,1039.8969971341944,35334131712,43126439936,0,0,
2022-08-15 19-55-35,883.2297078613406,35335331840,43135844352,0,4096,
2022-08-15 19-55-39,877.2965992251399,35335356416,43140308992,0,0,
2022-08-15 19-55-42,1043.0402930402931,35278970880,43092029440,0,0,
2022-08-15 19-55-46,1014.7159162700585,35279351808,43098595328,0,0,
2022-08-15 19-55-49,876.7515650458794,35279446016,43090452480,0,0,
2022-08-15 19-55-53,1654.0880503144654,35291324416,43100418048,0,0,
2022-08-15 19-55-57,916.7959527824621,35291996160,43104620544,0,0,
2022-08-15 19-56-00,898.0313788851566,35292254208,43109085184,0,0,
2022-08-15 19-56-04,912.588734405847,35297964032,43111342080,0,0,
2022-08-15 19-56-07,909.5909013749788,35298705408,43113705472,0,0,
