Datetime,CPU,RSS,VMSize,Read,Write,Annotation
2022-08-17 03-33-53,0.0,799666176,1551187968,0,0,start_loggin
2022-08-17 03-33-53,13.001912045889101,799997952,1551187968,499712,4096,add samples
2022-08-17 03-34-53,99.26320523020513,801931264,1552936960,913408,0,init dataset
2022-08-17 09-01-57,98.74880436195622,34651504640,35473182720,20297900032,4096,split dataset
2022-08-17 09-01-59,110.28151774785802,34769612800,35732303872,8663040,4096,Model start
2022-08-17 09-01-59,34.90759753593429,34770366464,35736760320,520192,159744,modelsetup_done
2022-08-17 09-01-59,117.24137931034483,34770591744,35736760320,0,4096,train_start
2022-08-17 09-01-59,0.0,34770591744,35736760320,0,0,epoch_begin
2022-08-17 09-02-11,772.5204591075197,35201957888,40800215040,21594112,0,
2022-08-17 09-02-14,1212.4337088220493,35234426880,40848973824,86016,0,
2022-08-17 09-02-18,1299.2354252946798,35345842176,40969129984,0,0,
2022-08-17 09-02-22,989.9379147934061,35363364864,40988016640,0,0,
2022-08-17 09-02-25,1117.3591534910324,35363332096,40992219136,0,0,
2022-08-17 09-02-29,885.7130468716125,35314753536,40950353920,0,0,
2022-08-17 09-02-32,856.8052403990239,35343532032,40978931712,0,0,
2022-08-17 09-02-35,850.3303251435727,35343880192,40974991360,0,4096,
2022-08-17 09-02-39,761.6839321137315,35344121856,40981295104,0,0,
2022-08-17 09-02-42,1094.6698093702187,35372027904,41006985216,0,0,
2022-08-17 09-02-46,838.6202084514413,35372400640,41009348608,0,0,
2022-08-17 09-02-49,815.2427353401774,35372453888,41011712000,0,0,
2022-08-17 09-02-52,813.1179123429222,35372584960,41007771648,0,0,
2022-08-17 09-02-56,776.4602547211243,35372744704,41003569152,0,0,
2022-08-17 09-02-59,973.5258011260213,35373072384,41005932544,0,0,
2022-08-17 09-03-03,1042.3109033227583,35373105152,41010397184,0,0,
2022-08-17 09-03-07,1512.43922507293,35372781568,40972836864,0,0,
2022-08-17 09-03-10,1098.0467445742904,35344781312,40961425408,0,4096,
2022-08-17 09-03-14,789.8345050434478,35345739776,40970358784,0,0,
2022-08-17 09-03-17,919.9369380885423,35351502848,40983080960,0,0,
2022-08-17 09-03-20,962.6479949077021,35352338432,40987545600,0,0,
2022-08-17 09-03-24,863.9585133967156,35352309760,40989646848,0,0,
2022-08-17 09-03-27,875.0868055555555,35352678400,40985706496,0,0,
2022-08-17 09-03-31,858.1755445331033,35352895488,40990171136,0,0,
2022-08-17 09-03-34,936.1542718487932,35353243648,40984129536,0,0,
2022-08-17 09-03-38,855.1985528469291,35354255360,40991444992,0,0,
2022-08-17 09-03-41,781.8213660245184,35354619904,40987504640,0,0,
2022-08-17 09-03-44,905.3717598908595,35356577792,40991936512,0,4096,
2022-08-17 09-03-48,1064.8250613637308,35357020160,40994299904,0,0,
2022-08-17 09-03-51,881.076679096481,35357364224,40996401152,0,0,
2022-08-17 09-03-55,1017.7762871038068,35360804864,40960712704,0,0,
2022-08-17 09-03-58,830.3151662893957,35361652736,40977784832,0,0,
2022-08-17 09-04-02,1812.5985953538627,35361677312,40984350720,0,0,
2022-08-17 09-04-06,1144.5708041604273,35361685504,40988815360,0,0,
2022-08-17 09-04-09,852.4686809137804,35362451456,40995119104,0,0,
2022-08-17 09-04-13,769.3638811636428,35362590720,40999583744,0,0,
2022-08-17 09-04-16,794.2476324096808,35362672640,40993542144,0,0,
2022-08-17 09-04-19,842.9531372720132,35362975744,41000108032,0,4096,
2022-08-17 09-04-23,1130.8994796398777,35362349056,40962285568,0,0,
2022-08-17 09-04-26,839.783033195921,35368337408,40983101440,0,0,
2022-08-17 09-04-30,861.0789814415192,35369082880,40985464832,0,0,
2022-08-17 09-04-33,824.1075325128742,35369553920,40994131968,0,0,
2022-08-17 09-04-37,937.7709506741764,35369488384,40996233216,0,0,
2022-08-17 09-04-40,852.0717270194986,35369611264,41002799104,0,0,
2022-08-17 09-04-43,813.1402146409563,35370188800,41007263744,0,0,
2022-08-17 09-04-47,913.07317906242,35370446848,41003323392,0,0,
2022-08-17 09-04-50,858.8881143255489,35370418176,41007525888,0,0,
2022-08-17 09-04-54,821.1664935964002,35370848256,41007788032,0,4096,
2022-08-17 09-04-57,1256.4803709922444,35371368448,41010372608,0,0,
2022-08-17 09-05-01,1045.047287207566,35374841856,40976375808,0,0,
2022-08-17 09-05-04,922.3635897873794,35382177792,40992370688,0,4096,
2022-08-17 09-05-08,942.7549194991055,35388190720,41004724224,0,0,
2022-08-17 09-05-11,780.0017465723517,35388792832,41011290112,0,0,
2022-08-17 09-05-14,799.7197775734489,35388960768,41015754752,0,0,
2022-08-17 09-05-18,893.656462585034,35389390848,41020219392,0,0,
2022-08-17 09-05-21,844.3032465836887,35389427712,41022320640,0,0,
2022-08-17 09-05-25,942.9037520391518,35389734912,41026785280,0,0,
2022-08-17 09-05-28,816.165478880584,35389906944,41029148672,0,4096,
2022-08-17 09-05-32,1219.047619047619,35390373888,41029410816,0,0,
2022-08-17 09-05-35,1002.2436032099491,35390525440,41027309568,0,0,
2022-08-17 09-05-39,803.8823066497617,35395342336,41033170944,0,0,
2022-08-17 09-05-42,887.8657156280699,35401879552,41028825088,0,0,
2022-08-17 09-05-45,869.4521497919557,35402215424,41033289728,0,0,
2022-08-17 09-05-49,1308.8285702897683,35402805248,41039593472,0,0,
2022-08-17 09-05-53,1117.0773568713987,35402534912,41002033152,0,0,
2022-08-17 09-05-56,1410.9517806492279,35402883072,41023307776,0,0,
2022-08-17 09-06-00,828.3684278516987,35403362304,41028014080,0,0,
2022-08-17 09-06-03,1225.474626143738,35403874304,41036419072,0,4096,
