Datetime,CPU,RSS,VMSize,Read,Write,Annotation
2022-08-15 14-27-16,0.0,799748096,1800794112,0,0,start_loggin
2022-08-15 14-27-16,74.93112947658402,800096256,1800794112,499712,4096,add samples
2022-08-15 14-28-14,99.92937283073694,801992704,1802518528,913408,0,init dataset
2022-08-15 19-52-52,99.65885241107918,34651242496,35722346496,20291407872,4096,split dataset
2022-08-15 19-52-54,108.88295844452917,34769911808,35967401984,8663040,4096,Model start
2022-08-15 19-52-54,32.77634961439589,34770649088,35971858432,520192,159744,modelsetup_done
2022-08-15 19-52-54,0.0,34770886656,35971858432,0,4096,train_start
2022-08-15 19-52-54,0.0,34770886656,35971858432,0,0,epoch_begin
2022-08-15 19-53-06,644.8090358073075,35205365760,41038348288,21577728,0,
2022-08-15 19-53-10,1251.035485970218,35209539584,41061416960,86016,0,
2022-08-15 19-53-14,1238.2180064047996,35265482752,41123336192,0,0,
2022-08-15 19-53-17,1032.6738558206673,35320594432,41182588928,0,0,
2022-08-15 19-53-21,1231.545287393077,35263959040,41129644032,0,0,
2022-08-15 19-53-25,1259.677093027961,35338526720,41208815616,0,0,
2022-08-15 19-53-28,883.9333645775638,35340050432,41212559360,0,0,
2022-08-15 19-53-32,963.2829373650108,35280297984,41114644480,0,4096,
2022-08-15 19-53-35,1048.5435265518254,35353214976,41195839488,0,0,
2022-08-15 19-53-39,1192.4196827978853,35381612544,41232683008,0,0,
2022-08-15 19-53-42,887.17350947632,35281108992,41136115712,0,0,
2022-08-15 19-53-46,1121.8544137022398,35319754752,41179824128,0,0,
2022-08-15 19-53-49,1186.0432772937374,35404398592,41272061952,0,0,
2022-08-15 19-53-53,958.0309781455549,35365343232,41239232512,0,0,
2022-08-15 19-53-56,846.353196099675,35365613568,41237610496,0,0,
2022-08-15 19-54-00,1050.6595647288918,35422203904,41288110080,0,0,
2022-08-15 19-54-03,1215.7272039198501,35355684864,41190383616,0,0,
2022-08-15 19-54-07,907.9019073569482,35287715840,41132650496,0,4096,
2022-08-15 19-54-10,1009.1187450190848,35343900672,41197096960,0,0,
2022-08-15 19-54-14,893.082191780822,35344912384,41208606720,0,0,
2022-08-15 19-54-17,895.1149053593757,35345051648,41213071360,0,0,
2022-08-15 19-54-21,940.0333006019724,35289104384,41160753152,0,0,
2022-08-15 19-54-24,1132.393899204244,35344343040,41218392064,0,0,
2022-08-15 19-54-28,1107.048403707518,35288743936,41123454976,0,0,
2022-08-15 19-54-31,987.491013659238,35288690688,41132122112,0,0,
2022-08-15 19-54-35,986.5463287081946,35288973312,41144729600,0,0,
2022-08-15 19-54-38,989.2894881440467,35290013696,41151295488,0,0,
2022-08-15 19-54-42,958.0380549682875,35290267648,41153658880,0,4096,
2022-08-15 19-54-45,1190.1037639877925,35344990208,41211260928,0,0,
2022-08-15 19-54-49,1106.025783598995,35290402816,41160224768,0,0,
2022-08-15 19-54-53,1231.6389663957298,35290927104,41162588160,0,0,
2022-08-15 19-54-56,964.2438153532262,35290435584,41160749056,0,0,
2022-08-15 19-54-59,932.7239015135182,35291164672,41163112448,0,0,
2022-08-15 19-55-03,1267.5232259339791,35290759168,41125552128,0,0,
2022-08-15 19-55-07,982.8169967834772,35291451392,41136058368,0,0,
2022-08-15 19-55-10,943.8706088742458,35291148288,41144725504,0,0,
2022-08-15 19-55-14,1005.1073904955183,35291287552,41149190144,0,4096,
2022-08-15 19-55-17,1288.3490850593203,35346722816,41212989440,0,0,
2022-08-15 19-55-21,1273.4615075215188,35292061696,41155756032,0,0,
2022-08-15 19-55-24,1152.9961855543252,35292749824,41160220672,0,0,
2022-08-15 19-55-28,1114.2646093237033,35292549120,41164685312,0,0,
2022-08-15 19-55-31,987.975085801449,35292315648,41167048704,0,0,
2022-08-15 19-55-35,1231.673258535798,35292090368,41127124992,0,0,
2022-08-15 19-55-39,1046.109993293092,35292717056,41144197120,0,0,
2022-08-15 19-55-42,1057.273864110046,35293323264,41150763008,0,0,
2022-08-15 19-55-46,981.2484205205964,35293573120,41155227648,0,4096,
2022-08-15 19-55-49,957.9388138779696,35293929472,41159430144,0,0,
2022-08-15 19-55-53,1047.8734914689971,35293827072,41165996032,0,0,
2022-08-15 19-55-56,1075.95472073641,35294593024,41168359424,0,0,
2022-08-15 19-56-00,1117.4678763496038,35294732288,41166520320,0,0,
2022-08-15 19-56-03,1030.7092228326972,35294572544,41168621568,0,4096,
