Datetime,CPU,RSS,VMSize,Read,Write,Annotation
2022-08-15 14-28-05,0.0,799698944,1586864128,0,0,start_loggin
2022-08-15 14-28-05,74.93112947658402,800055296,1586864128,499712,4096,add samples
2022-08-15 14-29-04,99.95773814554983,801939456,1588588544,913408,0,init dataset
2022-08-15 19-53-17,99.90745066492129,34651254784,35508723712,20295118848,4096,split dataset
2022-08-15 19-53-19,150.16456099373607,34769481728,35765669888,8663040,4096,Model start
2022-08-15 19-53-19,64.63231615807904,34770477056,35770126336,520192,159744,modelsetup_done
2022-08-15 19-53-19,32.85024154589372,34770477056,35770126336,0,4096,train_start
2022-08-15 19-53-19,0.0,34770477056,35770126336,0,0,epoch_begin
2022-08-15 19-53-25,1216.154530701984,35202256896,40841969664,21671936,0,
2022-08-15 19-53-29,1120.7204372960007,35212308480,40864600064,86016,4096,
2022-08-15 19-53-32,1064.7282449763964,35340697600,41003143168,0,4096,
2022-08-15 19-53-35,779.418026969482,35363971072,41027723264,0,4096,
2022-08-15 19-53-39,895.366484378312,35302453248,40971046912,0,0,
2022-08-15 19-53-42,866.6724526991842,35309236224,40979124224,0,4096,
2022-08-15 19-53-46,1008.760096594221,35319140352,40992382976,0,4096,
2022-08-15 19-53-49,892.8204249485949,35336667136,41013493760,0,0,
2022-08-15 19-53-53,1001.7306150014773,35337486336,41013755904,0,4096,
2022-08-15 19-53-56,843.6432801625384,35354345472,41032978432,0,4096,
2022-08-15 19-53-59,813.63198880042,35292610560,40964304896,0,0,
2022-08-15 19-54-03,960.3966269757193,35321856000,41001050112,0,4096,
2022-08-15 19-54-06,965.6324582338902,35291680768,40970469376,0,4096,
2022-08-15 19-54-10,1169.403806186071,35289083904,40969527296,0,0,
2022-08-15 19-54-14,1527.9336589798932,35378536448,41019600896,0,4096,
2022-08-15 19-54-17,989.3401654836406,35334180864,40992538624,0,4096,
2022-08-15 19-54-21,742.5897035881435,35335438336,41000116224,0,4096,
2022-08-15 19-54-24,773.3014861995754,35351273472,41018060800,0,0,
2022-08-15 19-54-27,839.4553706505295,35353038848,41024892928,0,4096,
2022-08-15 19-54-31,894.056317566124,35353227264,41029357568,0,4096,
2022-08-15 19-54-34,786.4635912741957,35353419776,41031720960,0,0,
2022-08-15 19-54-38,807.1974494475259,35372871680,41044729856,0,4096,
2022-08-15 19-54-41,893.7394685677252,35390353408,41064210432,0,4096,
2022-08-15 19-54-44,793.056524773203,35390480384,41066573824,0,0,
2022-08-15 19-54-48,848.3448007269894,35390787584,41068937216,0,4096,
2022-08-15 19-54-51,845.8908839779006,35390959616,41064734720,0,4096,
2022-08-15 19-54-55,821.8219785956669,35391176704,41069199360,0,0,
2022-08-15 19-54-58,1067.9595557765622,35391123456,41065259008,0,4096,
2022-08-15 19-55-02,950.2953048650945,35391586304,41069723648,0,4096,
2022-08-15 19-55-05,1088.0669923237963,35427643392,41097629696,0,0,
2022-08-15 19-55-09,774.3424490506881,35427901440,41103933440,0,4096,
2022-08-15 19-55-12,871.9818158425184,35371114496,41045590016,0,0,
2022-08-15 19-55-15,752.6464861037351,35372130304,41047953408,0,4096,
2022-08-15 19-55-19,859.0938152678914,35372294144,41050316800,0,4096,
2022-08-15 19-55-22,864.516129032258,35372396544,41050316800,0,0,
2022-08-15 19-55-26,794.9291573452647,35372478464,41046376448,0,4096,
2022-08-15 19-55-29,866.3263540404914,35372658688,41050841088,0,4096,
2022-08-15 19-55-32,888.4481048682678,35372986368,41049001984,0,0,
2022-08-15 19-55-36,969.6130484645117,35373191168,41051103232,0,4096,
2022-08-15 19-55-39,961.5433538265847,35373416448,41049264128,0,0,
2022-08-15 19-55-43,1217.35640027295,35373142016,41013805056,0,4096,
2022-08-15 19-55-46,919.9914802981896,35373490176,41030877184,0,4096,
2022-08-15 19-55-50,780.5424321959755,35373809664,41032978432,0,0,
2022-08-15 19-55-53,922.8446427039547,35374198784,41041645568,0,4096,
2022-08-15 19-55-57,825.3001566034453,35374329856,41046110208,0,4096,
2022-08-15 19-56-00,902.8011085056492,35402596352,41076572160,0,0,
2022-08-15 19-56-03,873.3321751216122,35402838016,41082875904,0,4096,
2022-08-15 19-56-07,1008.4396302956798,35402657792,41043214336,0,4096,
2022-08-15 19-56-10,893.9705378554299,35402829824,41058185216,0,0,
2022-08-15 19-56-14,876.8743038300059,35403227136,41066852352,0,8192,
2022-08-15 19-56-17,823.3820459290188,35403632640,41071316992,0,0,
2022-08-15 19-56-21,839.0760680791942,35403988992,41073418240,0,4096,
2022-08-15 19-56-24,976.7543859649123,35426742272,41102766080,0,4096,
2022-08-15 19-56-27,807.5854234029538,35426963456,41105129472,0,0,
2022-08-15 19-56-31,899.6905337233457,35427061760,41101189120,0,4096,
2022-08-15 19-56-34,817.122990004346,35427471360,41105391616,0,0,
2022-08-15 19-56-38,758.4834206702188,35427627008,41101451264,0,4096,
2022-08-15 19-56-41,855.8439326228945,35432755200,41108807680,0,4096,
2022-08-15 19-56-45,1115.979254136824,35404267520,41083277312,0,0,
2022-08-15 19-56-48,1049.2991623123496,35405447168,41074872320,0,4096,
2022-08-15 19-56-52,949.6259351620947,35405733888,41081438208,0,4096,
2022-08-15 19-56-55,864.3034082173059,35405889536,41081700352,0,0,
2022-08-15 19-56-58,771.457445406213,35406024704,41081962496,0,4096,
2022-08-15 19-57-02,990.616576819407,35405750272,41046241280,0,4096,
2022-08-15 19-57-05,954.4566183002665,35406127104,41059110912,0,0,
2022-08-15 19-57-09,790.6002464354867,35406651392,41067778048,0,4096,
2022-08-15 19-57-12,694.3661971830986,35406893056,41072590848,0,4096,
2022-08-15 19-57-16,905.9315524451652,35407245312,41076793344,0,0,
2022-08-15 19-57-19,717.4409748667174,35407241216,41083359232,0,4096,
2022-08-15 19-57-22,964.3396465179061,35407732736,41085722624,0,0,
2022-08-15 19-57-26,826.3621305901839,35407888384,41088086016,0,4096,
2022-08-15 19-57-29,1214.0039210979073,35411075072,41052831744,0,4096,
2022-08-15 19-57-33,797.7071847379015,35412504576,41065439232,0,0,
2022-08-15 19-57-36,821.5395236451502,35412733952,41078308864,0,4096,
2022-08-15 19-57-40,885.9972677595629,35435925504,41103499264,0,0,
2022-08-15 19-57-43,886.3989026533499,35463569408,41138110464,0,4096,
2022-08-15 19-57-46,864.1222684926802,35464806400,41140748288,0,4096,
2022-08-15 19-57-50,749.3889929533494,35465252864,41141272576,0,4096,
2022-08-15 19-57-53,925.2899443476783,35521765376,41197801472,0,0,
2022-08-15 19-57-57,798.3371986172493,35522265088,41198063616,0,4096,
2022-08-15 19-58-01,1695.705794947994,35521699840,41162604544,0,0,
2022-08-15 19-58-04,1485.3313821388685,35492941824,41144762368,0,4096,
2022-08-15 19-58-08,830.1013277428372,35494199296,41151328256,0,4096,
2022-08-15 19-58-11,925.6544502617801,35522412544,41186017280,0,4096,
2022-08-15 19-58-15,802.7591054874566,35466399744,41134448640,0,0,
2022-08-15 19-58-18,1080.5525684506576,35551633408,41225273344,0,4096,
2022-08-15 19-58-22,883.8679041657673,35439816704,41117540352,0,4096,
2022-08-15 19-58-25,859.9233315908695,35494363136,41170788352,0,0,
2022-08-15 19-58-28,812.7537241920028,35522347008,41199005696,0,4096,
2022-08-15 19-58-32,937.1525856565227,35473637376,41150320640,0,0,
2022-08-15 19-58-35,760.843373493976,35499077632,41177657344,0,4096,
2022-08-15 19-58-38,739.3288590604027,35500011520,41180020736,0,4096,
2022-08-15 19-58-42,1109.2560193285012,35467530240,41108574208,0,0,
2022-08-15 19-58-45,1191.7925334853235,35552047104,41203040256,0,4096,
2022-08-15 19-58-49,908.693060876969,35476123648,41135624192,0,4096,
2022-08-15 19-58-52,789.2190860805057,35499474944,41165643776,0,0,
2022-08-15 19-58-56,1650.7301729948326,35500568576,41174310912,0,4096,
2022-08-15 19-59-00,1179.5974679435158,35526168576,41204310016,0,0,
2022-08-15 19-59-03,929.7477840106196,35526578176,41202470912,0,4096,
