Datetime,CPU,RSS,VMSize,Read,Write,Annotation
2022-08-15 14-31-46,0.0,789721088,2631315456,0,0,start_loggin
2022-08-15 14-31-47,76.61971830985915,790065152,2631315456,499712,4096,add samples
2022-08-15 14-32-46,99.93924831569055,791953408,2633043968,913408,0,init dataset
2022-08-15 20-00-12,99.88922884676111,34641436672,36553101312,20290318336,4096,split dataset
2022-08-15 20-00-14,193.6373748609566,34759581696,36772175872,8663040,4096,Model start
2022-08-15 20-00-14,52.082336045955,34760601600,36776632320,520192,159744,modelsetup_done
2022-08-15 20-00-14,9.770114942528735,34760601600,36776632320,0,4096,train_start
2022-08-15 20-00-14,566.6666666666666,34760601600,36776632320,0,0,epoch_begin
2022-08-15 20-00-20,1457.8930594032704,35195236352,41851510784,21671936,0,
2022-08-15 20-00-24,1107.8862365083116,35200344064,41874579456,86016,4096,
2022-08-15 20-00-28,1250.7162401416385,35285913600,41964175360,0,4096,
2022-08-15 20-00-31,990.6401841275253,35317080064,42003828736,0,4096,
2022-08-15 20-00-34,961.5272150048039,35318530048,42008838144,0,4096,
2022-08-15 20-00-38,869.1574202496532,35256651776,41948872704,0,0,
2022-08-15 20-00-42,1479.9075512446482,35285061632,41979551744,0,4096,
2022-08-15 20-00-45,991.8386138199472,35256655872,41947295744,0,4096,
2022-08-15 20-00-49,1025.2904416390554,35256786944,41949659136,0,0,
2022-08-15 20-00-52,1190.8734172094341,35257126912,41913937920,0,4096,
2022-08-15 20-00-56,1063.323197400758,35312549888,41980338176,0,4096,
2022-08-15 20-01-00,1153.6997885835094,35313115136,41989005312,0,0,
2022-08-15 20-01-03,885.8226320779108,35257516032,41937838080,0,4096,
2022-08-15 20-01-07,1064.5709783104548,35259588608,41942040576,0,4096,
2022-08-15 20-01-10,1315.247290640394,35314552832,42002509824,0,0,
2022-08-15 20-01-14,856.3827504827291,35314610176,42004873216,0,4096,
2022-08-15 20-01-17,1201.0685379370839,35258654720,41953333248,0,4096,
2022-08-15 20-01-21,863.3326091679339,35258400768,41953333248,0,0,
2022-08-15 20-01-24,1192.9583164710643,35258875904,41955696640,0,4096,
2022-08-15 20-01-28,949.0301678798334,35258359808,41947553792,0,0,
2022-08-15 20-01-31,1037.824246741818,35259170816,41952018432,0,4096,
2022-08-15 20-01-35,1019.8434949993723,35259838464,41956220928,0,4096,
2022-08-15 20-01-38,898.2347369327478,35259559936,41948078080,0,4096,
2022-08-15 20-01-42,1079.9488089831978,35260035072,41954643968,0,0,
2022-08-15 20-01-45,1065.9535655058044,35260698624,41957007360,0,4096,
2022-08-15 20-01-49,1187.6890807147756,35260563456,41957007360,0,0,
2022-08-15 20-01-53,1419.2058096415328,35260182528,41917345792,0,4096,
2022-08-15 20-01-57,1270.1157195689348,35259834368,41934417920,0,4096,
2022-08-15 20-02-00,859.432617988687,35260735488,41936781312,0,4096,
2022-08-15 20-02-04,1012.4874455975895,35260760064,41947549696,0,0,
2022-08-15 20-02-07,1010.7490762512597,35261861888,41953853440,0,4096,
2022-08-15 20-02-11,1228.4153005464482,35261513728,41956216832,0,4096,
2022-08-15 20-02-14,1094.1583621732061,35261886464,41958580224,0,0,
2022-08-15 20-02-18,1251.6823687752355,35290300416,41947467776,0,4096,
2022-08-15 20-02-22,1109.2596411631264,35261513728,41939931136,0,4096,
2022-08-15 20-02-25,1016.9188619599579,35261591552,41944395776,0,0,
2022-08-15 20-02-29,1035.519973173492,35262595072,41948860416,0,4096,
2022-08-15 20-02-32,1260.5065023956195,35262386176,41955426304,0,0,
2022-08-15 20-02-36,984.5253741467758,35263131648,41959628800,0,4096,
2022-08-15 20-02-39,1228.3782696177063,35263238144,41919967232,0,4096,
