Datetime,CPU,RSS,VMSize,Read,Write,Annotation
2022-08-15 14-32-51,0.0,803008512,2086035456,0,0,start_loggin
2022-08-15 14-32-51,96.86609686609687,803319808,2086035456,499712,4096,add samples
2022-08-15 14-33-50,99.9431967678715,805269504,2087772160,913408,0,init dataset
2022-08-15 19-54-18,99.90597689174115,34654429184,36007604224,20287057920,4096,split dataset
2022-08-15 19-54-19,159.02004454342983,34772488192,36235079680,8663040,4096,Model start
2022-08-15 19-54-19,67.51773049645391,34773499904,36239536128,520192,159744,modelsetup_done
2022-08-15 19-54-19,123.63636363636364,34773499904,36239536128,0,4096,train_start
2022-08-15 19-54-19,566.6666666666666,34773499904,36239536128,0,0,epoch_begin
2022-08-15 19-54-25,1340.3523000887087,35204247552,41345003520,21635072,0,
2022-08-15 19-54-29,1106.3916876574308,35236708352,41385357312,86016,0,
2022-08-15 19-54-33,1398.2873900293255,35348172800,41492905984,0,0,
2022-08-15 19-54-36,861.3827699018539,35365322752,41513889792,0,0,
2022-08-15 19-54-40,1098.3956784858453,35321212928,41430605824,0,0,
2022-08-15 19-54-43,1005.8763931104356,35331395584,41451384832,0,0,
2022-08-15 19-54-47,1346.0877713571763,35332100096,41460051968,0,0,
2022-08-15 19-54-50,965.5971253434792,35332366336,41466617856,0,0,
2022-08-15 19-54-54,911.6195372750643,35332685824,41468981248,0,0,
2022-08-15 19-54-57,1130.5398077397092,35324989440,41463083008,0,4096,
2022-08-15 19-55-01,905.5371794321062,35323944960,41464979456,0,0,
2022-08-15 19-55-04,1272.408433302778,35307905024,41455054848,0,0,
2022-08-15 19-55-08,1091.6397381721767,35363901440,41502588928,0,0,
2022-08-15 19-55-11,910.2407841466013,35389771776,41534316544,0,0,
2022-08-15 19-55-15,1021.6762764268404,35389931520,41536679936,0,0,
2022-08-15 19-55-18,897.5443383356071,35418882048,41567801344,0,0,
2022-08-15 19-55-22,1298.9448273176808,35362762752,41472126976,0,0,
2022-08-15 19-55-26,1050.588923231142,35390177280,41509351424,0,0,
2022-08-15 19-55-29,829.0032820867162,35334676480,41469075456,0,0,
2022-08-15 19-55-33,967.3926727936548,35363676160,41506000896,0,4096,
2022-08-15 19-55-36,855.6622545202872,35363700736,41510465536,0,0,
2022-08-15 19-55-40,1089.23713045276,35335528448,41480105984,0,0,
2022-08-15 19-55-43,977.0098310422607,35391336448,41537744896,0,0,
2022-08-15 19-55-47,981.9391234791394,35335921664,41478529024,0,0,
2022-08-15 19-55-50,848.9333160240599,35391610880,41536917504,0,0,
2022-08-15 19-55-53,988.555078683834,35336364032,41482993664,0,0,
2022-08-15 19-55-57,821.1220549312275,35391700992,41541128192,0,0,
