Datetime,CPU,RSS,VMSize,Read,Write,Annotation
2022-08-15 14-27-42,0.0,800817152,1658167296,0,0,start_loggin
2022-08-15 14-27-42,53.82585751978892,801120256,1658167296,499712,4096,add samples
2022-08-15 14-28-41,99.9548707368964,803061760,1659904000,913408,4096,init dataset
2022-08-15 19-52-52,99.83520587695733,34652655616,35580108800,20299546624,4096,split dataset
2022-08-15 19-52-54,142.4476295479603,34772275200,35834408960,8663040,4096,Model start
2022-08-15 19-52-54,34.99517529752332,34773016576,35838865408,520192,163840,modelsetup_done
2022-08-15 19-52-54,121.42857142857143,34773254144,35838865408,0,4096,train_start
2022-08-15 19-52-54,0.0,34773254144,35838865408,0,0,epoch_begin
2022-08-15 19-53-06,617.4368213468374,35206467584,40910708736,21614592,0,
2022-08-15 19-53-10,1262.9314963643321,35239534592,40963670016,86016,4096,
2022-08-15 19-53-14,1439.4276382300334,35345154048,41082343424,0,4096,
2022-08-15 19-53-18,988.758482352439,35316047872,41059540992,0,4096,
2022-08-15 19-53-21,890.4727519857282,35335028736,41078652928,0,0,
2022-08-15 19-53-25,1291.8478260869565,35295494144,41000591360,0,4096,
2022-08-15 19-53-28,1153.8792229387193,35296497664,41016254464,0,4096,
2022-08-15 19-53-32,1454.3019855317839,35323949056,41050824704,0,0,
2022-08-15 19-53-36,1157.5472854283264,35379965952,41114451968,0,4096,
2022-08-15 19-53-39,1058.7775142512378,35408539648,41144991744,0,4096,
2022-08-15 19-53-43,1141.1410420362197,35408908288,41151557632,0,0,
2022-08-15 19-53-46,890.8857069364658,35351965696,41091293184,0,4096,
2022-08-15 19-53-50,1069.0055548594578,35380572160,41121546240,0,4096,
2022-08-15 19-53-53,1050.510097855507,35436949504,41179488256,0,0,
2022-08-15 19-53-57,1231.2745964179585,35325562880,41030803456,0,4096,
2022-08-15 19-54-01,1158.7791858522473,35410173952,41126117376,0,0,
2022-08-15 19-54-04,1158.9945706816811,35354382336,41084035072,0,4096,
2022-08-15 19-54-08,993.5336243061147,35381997568,41114046464,0,4096,
2022-08-15 19-54-11,998.2778174486496,35382169600,41122713600,0,4096,
2022-08-15 19-54-15,1041.0036973952058,35383312384,41125978112,0,0,
2022-08-15 19-54-18,1008.1720430107526,35409784832,41147121664,0,4096,
2022-08-15 19-54-22,861.8683266329487,35410534400,41151324160,0,4096,
2022-08-15 19-54-25,881.525129982669,35410903040,41151586304,0,0,
2022-08-15 19-54-29,1051.974257836828,35410976768,41153949696,0,4096,
2022-08-15 19-54-32,934.3157715405256,35412041728,41148489728,0,4096,
2022-08-15 19-54-36,922.0878746594005,35355918336,41098764288,0,0,
2022-08-15 19-54-39,1036.5472910927456,35411619840,41148497920,0,4096,
2022-08-15 19-54-42,854.5634153674355,35412926464,41155866624,0,0,
2022-08-15 19-54-46,1117.0649446798009,35413086208,41118306304,0,4096,
2022-08-15 19-54-50,1047.6095534787123,35413442560,41137217536,0,4096,
2022-08-15 19-54-53,867.5801447776629,35413639168,41141682176,0,4096,
2022-08-15 19-54-56,929.4713975380159,35356545024,41093771264,0,0,
2022-08-15 19-55-00,1029.2512128242986,35385180160,41125703680,0,4096,
2022-08-15 19-55-04,1197.8046630878937,35386269696,41129152512,0,0,
2022-08-15 19-55-07,842.0560747663551,35413733376,41148289024,0,4096,
2022-08-15 19-55-10,804.5380875202593,35414290432,41150652416,0,4096,
2022-08-15 19-55-14,894.9062123558767,35414515712,41157218304,0,4096,
2022-08-15 19-55-17,852.0247737017628,35414749184,41153277952,0,0,
2022-08-15 19-55-21,902.1544295070665,35414687744,41157480448,0,4096,
2022-08-15 19-55-24,899.9057169795149,35415216128,41157742592,0,0,
2022-08-15 19-55-28,974.7870815414453,35415142400,41149599744,0,4096,
2022-08-15 19-55-31,1250.6061948684899,35415511040,41151963136,0,4096,
2022-08-15 19-55-35,881.7243004670695,35415662592,41158266880,0,0,
2022-08-15 19-55-38,1047.7907122293152,35415801856,41152225280,0,4096,
2022-08-15 19-55-42,917.6420442436383,35416055808,41156689920,0,4096,
2022-08-15 19-55-45,883.2070814537408,35359571968,41100857344,0,0,
2022-08-15 19-55-49,992.9547088425593,35415556096,41158258688,0,4096,
2022-08-15 19-55-52,909.8977557167706,35360137216,41096916992,0,4096,
2022-08-15 19-55-55,945.3574154159247,35416551424,41157836800,0,0,
2022-08-15 19-55-59,840.274599542334,35417534464,41158098944,0,8192,
2022-08-15 19-56-02,900.6777043836322,35417620480,41158098944,0,4096,
2022-08-15 19-56-06,948.6355521550624,35417968640,41160462336,0,0,
2022-08-15 19-56-09,899.0126095319513,35418001408,41156521984,0,4096,
2022-08-15 19-56-13,1044.9475890985325,35418189824,41160986624,0,0,
2022-08-15 19-56-16,917.4626043476419,35418497024,41159147520,0,4096,
2022-08-15 19-56-20,968.0394826412526,35418746880,41159147520,0,4096,
2022-08-15 19-56-23,963.3769119029308,35418923008,41161510912,0,0,
2022-08-15 19-56-27,995.8194894225512,35419058176,41163874304,0,4096,
2022-08-15 19-56-30,1046.3068181818182,35419066368,41124212736,0,4096,
2022-08-15 19-56-34,1070.5137227304715,35419357184,41136820224,0,0,
2022-08-15 19-56-37,866.1859320350619,35419578368,41143386112,0,4096,
2022-08-15 19-56-40,843.6630036630037,35419906048,41147850752,0,0,
